Nama Hotel,Tipe Properti,Bintang Hotel,Rating,Lokasi,Harga Diskon,Harga Asli,Fasilitas,URL Gambar
Habitat@Gandaria,Hotel,0,8.3 (26 ulasan),"Kebayoran Lama Utara, Jakarta",Rp 423.622,Rp 564.829,,N/A
Hotel Tugu Asri,Hotel,2,7.7 (395 ulasan),"Tanah Abang, Jakarta",Rp 171.990,Rp 229.319,Check-out ekspress,N/A
Maven Buncit,Guest House,3,"7.0 (1,1rb ulasan)","Mampang Prapatan, Jakarta",Rp 204.750,Rp 272.999,,N/A
Hotel Cempaka Sari,Hotel,0,7.8 (67 ulasan),"Cempaka Baru, Jakarta",Rp 200.655,Rp 267.539,Aksesibel bagi penyandang disabilitas,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67814292-2d64350af8219f0b0ce805fca7f315d3.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
RedDoorz Plus near Radio Dalam 3,Hotel,2,8.3 (64 ulasan),"Gandaria, Jakarta",Rp 280.283,Rp 373.710,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67855779-5d15adb0068e511bbf82895cc7128030.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Hotel Surabaya Jaya Bandara Soetta,Hotel,0,7.5 (13 ulasan),"Benda, Jakarta",Rp 164.919,Rp 219.891,,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20050056-2a58bdb99c9704af65c2ff3102545998.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
RedDoorz near ITC Cempaka Mas,Hotel,1,6.1 (26 ulasan),"Sunter, Jakarta",Rp 164.432,Rp 219.242,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67858537-9db4c4666b77c6b9b4a9aab7208dfa0e.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
RedDoorz near Seasons City Mall 3,Hotel,1,7.9 (21 ulasan),"Grogol, Jakarta",Rp 214.129,Rp 285.505,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67859971-00478813c1b5f73235fc82a8c73280ef.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Jakarta City Hotel,Hotel,2,8.1 (33 ulasan),"Glodok, Jakarta",Rp 223.133,Rp 297.510,Sewa mobil,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20065532-1133d6f9d7bc981a933c19ff7ce7cee6.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Ichiza Room RedPartner,Hotel,1,7.1 (33 ulasan),"Mangga Besar, Jakarta",Rp 123.660,Rp 164.879,,"https://ik.imagekit.io/tvlk/apr-asset/n--d71KSp+9qx0rsggatXBX58KaM1H0AOPaS7yg78T8=/PROD/MGDocuments/ID10021260/Photos/fec72de4-fbd1-4473-9336-e2b0a7afa8d7.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Ichiza Hotel,Hotel,2,8.4 (5 ulasan),"Mangga Besar, Jakarta",Rp 132.231,Rp 176.307,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/95000000/94880000/94870200/94870108/94fcf7db_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
RedDoorz @ Ruko ITC Roxy Mas,Hotel,1,8.9 (62 ulasan),"Cideng, Jakarta",Rp 184.987,Rp 246.649,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67859977-05b252a2e9a9b3a9128cc2e02bb03a08.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Apatel Grand Pakubuwono Terrace,Apartemen,0,5.0 (1 ulasan),"Cipulir, Jakarta",Rp 371.901,Rp 495.867,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20085922-f6082c48637aa78fd5528db547e51d47.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Aruni Hotel,Hotel,0,6.9 (248 ulasan),"Ancol, Jakarta",Rp 186.144,Rp 248.191,Karaoke,N/A
Green Pramuka by Uchi Property,Apartemen,2,9.2 (2 ulasan),"Rawasari, Jakarta",Rp 274.910,Rp 366.546,,N/A
Themas Guest House,Guest House,0,8.3 (3 ulasan),"Kalideres, Jakarta",Rp 187.940,Rp 250.586,,N/A
Beranda Istirahat Pluit Utara,Lainnya,1,8.1 (1 ulasan),"Pluit, Jakarta",Rp 122.727,Rp 163.635,,N/A
Mustika Gajah Mada,Guest House,0,8.1 (771 ulasan),"Glodok, Jakarta",Rp 245.700,Rp 327.599,,N/A
RedDoorz Premium near Stasiun Lenteng Agung,Hotel,3,7.5 (33 ulasan),"Jagakarsa, Jakarta",Rp 301.843,Rp 402.457,,N/A
Kemang Place near Lippo Mall Kemang Mitra RedDoorz,Hotel,1,7.9 (12 ulasan),"Ragunan, Jakarta",Rp 175.874,Rp 234.498,,N/A
Rumah Tani Betawi Syariah,Guest House,2,8.0 (125 ulasan),"Cikini, Jakarta",Rp 180.180,Rp 240.239,Check-out ekspress,N/A
CVS The Hotel,Hotel,2,"8.3 (1,3rb ulasan)","Tanah Abang, Jakarta",Rp 328.419,Rp 437.891,,N/A
RedDoorz @ Kebon Kacang,Hotel,1,7.8 (18 ulasan),"Kebon Kacang, Jakarta",Rp 214.644,Rp 286.191,,N/A
Apatel Puri Mansion,Apartemen,0,6.3 (13 ulasan),"Duri Kosambi, Jakarta",Rp 421.785,Rp 562.379,Great value in its class,N/A
3 Point Syariah Residence,Hotel,0,9.0 (23 ulasan),"Tebet, Jakarta",Rp 335.790,Rp 447.719,,N/A
Urbanview Hotel Cengkareng Jakarta,Hotel,3,10.0 (2 ulasan),"Pegadungan, Jakarta",Rp 234.795,Rp 313.059,,N/A
RedLiving Apartemen Sentra Timur Residence - Myroom.id Tower Green,Apartemen,2,7.5 (24 ulasan),"Pulogebang, Jakarta",Rp 221.458,Rp 295.277,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67864831-7bb4f997f7d0bf26075d3eb3b86db766.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Apartemen Green Pramuka by AHF Pro,Apartemen,0,9.4 (10 ulasan),"Rawasari, Jakarta",Rp 278.460,Rp 371.279,Lapangan olah raga; Aerobik; Tennis meja; Dapur kecil; Teras rooftop,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20061120-925776ce1391eba07eff1f674829fc11.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-226,pr-true,q-80,w-300"
Apatel The Oak Tower Pulo Gadung,Apartemen,0,7.3 (43 ulasan),"Pulo Gadung, Jakarta",Rp 292.383,Rp 389.843,Dapur kecil; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20028362-18c7e05a63bc445a06e15e269eba8359.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Antoni Hotel,Hotel,3,8.0 (699 ulasan),"Hayam Wuruk, Jakarta",Rp 253.235,Rp 337.646,Layanan pijat,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000650-1000x666-FIT_AND_TRIM-012081fd0d1eb1d19bcbcf06cb583f45.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Jo Inn RedPartner,Hotel,2,6.1 (4 ulasan),"Gandaria, Jakarta",Rp 168.549,Rp 224.731,Great value in its class,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20086825-fe0949bc002c83c0861a01718cca2002.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Sans Hotel Liv Ancol,Hotel,3,8.5 (1 ulasan),"Ancol, Jakarta",Rp 208.564,Rp 278.085,,"https://ik.imagekit.io/tvlk/apr-asset/n--d71KSp+9qx0rsggatXBX58KaM1H0AOPaS7yg78T8=/PROD/MGDocuments/ID10020110/Photos/52c821f1-77ac-406e-9525-cc4657ad2eed.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
The Best 3BR Apartment Grand Palace/Pallazo Kemayoran By Travelio,Apartemen,0,8.0 (32 ulasan),"Kemayoran, Jakarta",Rp 826.527,Rp 1.102.035,Dapur kecil; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67797496-d9455424428e611387f0b4f5d2c5243c.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Env Residence,Homestay,0,8.0 (194 ulasan),"Mangga Besar, Jakarta",Rp 163.800,Rp 218.399,Check-out ekspress,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10019667-3d1596a3424c16b9a25e7568975f419e.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Green Pramuka City by Aok Property,Apartemen,0,6.3 (14 ulasan),"Rawasari, Jakarta",Rp 270.270,Rp 360.359,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20060597-4ac890855f6f9ff007d924fee4240d53.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Apatel Green Park View Tower E Lt 1219,Apartemen,0,7.4 (79 ulasan),"Daan Mogot, Jakarta",Rp 229.320,Rp 305.759,Dapur kecil,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20022864-53c5775745db7f0c2da9cd7fac787cb9.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
The Kartini 8 Residence - Mangga Besar,Hotel,1,8.0 (287 ulasan),"Kartini, Jakarta",Rp 396.396,Rp 528.527,Pengering pakaian; Check-out ekspress,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20021468-888b39e9cb31286288ef377d0fddd91b.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
C53 Guest House,B&B,0,8.9 (10 ulasan),"Cempaka Putih Timur, Jakarta",Rp 245.700,Rp 327.599,Great value in its class,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67854211-fa1a10a63f44a1b1e7aa12bb217454e9.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Apartemen The Lavande Residence by Aparian,Apartemen,0,8.1 (64 ulasan),"Menteng Dalam, Jakarta",Rp 391.892,Rp 522.522,Great value in its class; Klub malam,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20027705-8a5b14a429c2399f8ef89ba1f86c7040.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Orange Garden 47 RedPartner,Hotel,1,8.0 (1 ulasan),"Hayam Wuruk, Jakarta",Rp 126.007,Rp 168.009,,"https://ik.imagekit.io/tvlk/apr-asset/n--d71KSp+9qx0rsggatXBX58KaM1H0AOPaS7yg78T8=/PROD/MGDocuments/ID10021033/Photos/261e285c-eb30-4e2a-8b14-14c4a74049f8.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Comfort Living 3BR at 25th Floor Thamrin Residence Apartment By Travelio,Apartemen,3,7.8 (5 ulasan),"Thamrin, Jakarta",Rp 1.561.357,Rp 2.081.809,Great value in its class; Area main anak; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/680031184-1ecca60b9190b26ab12f182b7a36777c.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Tidung Solata Homestay,Homestay,0,7.7 (126 ulasan),"Pulau Tidung, Jakarta",Rp 236.600,Rp 315.466,Great value in its class; Banana boat; Volley pantai; Kano,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/67708975-640x426-FIT_AND_TRIM-7cd3c89a3f58c88183adb6a745a20a14.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
3BR Strategic and Classic Sudirman Tower Condominium By Travelio,Apartemen,0,5.4 (2 ulasan),"Karet Semanggi, Jakarta",Rp 1.426.400,Rp 1.901.866,Great value in its class; Area main anak; Dapur kecil,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67819863-4d166488c21e0b9ab98e63d37a8094d1.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Wisma Daun,Guest House,0,8.0 (106 ulasan),"Tanah Abang, Jakarta",Rp 122.850,Rp 163.799,,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/67744762-1080x749-FIT_AND_TRIM-58e7743006597fc89f642313367dbc12.png?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Fontana Residencia Guest House Tebet 3,Guest House,0,8.1 (362 ulasan),"Tebet, Jakarta",Rp 345.994,Rp 461.325,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67787988-1ed62ddc251537e478855e063d510434.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-226,pr-true,q-80,w-300"
Apartemen Sentra Timur by Welcome Property,Apartemen,1,6.9 (138 ulasan),"Pulogebang, Jakarta",Rp 205.569,Rp 274.091,Aktivitas outdoor; Area main anak; Layanan pijat; Dapur kecil,N/A
Backpacker Homestay Jatisampurna Redpartner,B&B,2,8.6 (8 ulasan),"Cibubur, Jakarta",Rp 158.002,Rp 210.669,,N/A
Apartment Green Pramuka City by Erna,Apartemen,0,8.1 (48 ulasan),"Rawasari, Jakarta",Rp 286.650,Rp 382.199,Dapur kecil; Aksesibel bagi penyandang disabilitas,N/A
Taisir Residence Near Palmerah Mitra RedDoorz,Hotel,1,7.8 (9 ulasan),"Palmerah, Jakarta",Rp 144.459,Rp 192.611,,N/A
Jo Cengkareng Syariah,Hostel,0,8.3 (89 ulasan),"Duri Kosambi, Jakarta",Rp 199.757,Rp 266.342,,N/A
Apatel Maqna Residence,Apartemen,0,7.9 (28 ulasan),"Meruya Utara, Jakarta",Rp 515.971,Rp 687.961,Dapur kecil,N/A
Apartemen green pramuka type 2 bedroom by agape,Apartemen,1,8.3 (94 ulasan),"Rawasari, Jakarta",Rp 315.315,Rp 420.419,Dapur kecil,N/A
JJ HOMESTAY,Homestay,0,8.1 (40 ulasan),"Cipinang, Jakarta",Rp 162.981,Rp 217.307,,N/A
Apartment Light Signature Cawang By Eti,Apartemen,0,7.5 (20 ulasan),"Cawang, Jakarta",Rp 323.505,Rp 431.339,,N/A
RedDoorz @ Stariez Kemang,Hotel,1,8.2 (62 ulasan),"Kemang, Jakarta",Rp 162.564,Rp 216.751,,N/A
Charming Studio With Sea View @ Green Bay Apartments,Apartemen,0,8.2 (14 ulasan),"Pluit, Jakarta",Rp 353.889,Rp 471.851,Banana boat; Basket; Ruang santai; Dapur kecil,N/A
Cozy Tamansari The Hive Apartment by Bonzela Property,Apartemen,0,8.2 (71 ulasan),"Jatinegara, Jakarta",Rp 360.360,Rp 480.479,Dapur kecil,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20043847-cd01eea15132176a2881125b14f7241c.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Amazing Puri Orchard Apartment,Apartemen,0,8.0 (126 ulasan),"Rawa Buaya, Jakarta",Rp 270.270,Rp 360.359,Area main anak; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20010997-befdc34d7c925f5e41dcf6ec7f547e31.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Pondok Malabar Mitra RedDoorz,Hotel,1,8.6 (18 ulasan),"Kemanggisan, Jakarta",Rp 216.486,Rp 288.647,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67871916-17e211282b350c335a275bb87fdc2c14.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Apartment Kalibata City Green Palace,Apartemen,3,7.6 (401 ulasan),"Kalibata, Jakarta",Rp 286.568,Rp 382.090,Basket; Ruang santai; Tennis; Dapur kecil; Pusat kebugaran; Fasilitas bisnis,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10012853-d51ce8f07dd7c54cd1172a6e3c91ace5.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Pondok Seruni,Homestay,0,8.7 (18 ulasan),"Kemanggisan, Jakarta",Rp 131.396,Rp 175.194,,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/67738066-3419x2279-FIT_AND_TRIM-3bd09be07de2e4ea8787ab2e7e957433.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
RedDoorz near RS Sari Asih Ciledug,Hotel,0,6.3 (6 ulasan),"Meruya Selatan, Jakarta",Rp 164.595,Rp 219.459,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/680024631-bc5c0400843d9a15991adf5de64fd15c.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
RedDoorz Plus @ Cideng Barat,Hotel,2,8.4 (223 ulasan),"Duri Pulo, Jakarta",Rp 278.558,Rp 371.410,Great value in its class,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/10034908-25049bd315731e7ec0aa39ec7626d626.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
RedDoorz Plus near Green Pramuka Square Mall,Guest House,2,8.1 (14 ulasan),"Cempaka Putih Timur, Jakarta",Rp 224.248,Rp 298.997,,N/A
RedDoorz Plus @ Karet Pedurenan 3,Guest House,2,7.8 (36 ulasan),"Kuningan, Jakarta",Rp 330.111,Rp 440.147,,N/A
Hotel Banyuwangi Sintera,Hotel,4,7.8 (127 ulasan),"Pasar Baru, Jakarta",Rp 285.620,Rp 380.826,,N/A
Alluring 1 Bedroom Penthouse Suite @ Green Bay Seaview Condominiums,Apartemen,0,9.4 (4 ulasan),"Pluit, Jakarta",Rp 505.555,Rp 674.073,Great value in its class; Basket; Jet ski; Dapur kecil; Bilyar; Check-out ekspress,N/A
Penginapan Dison RedPartner,Hotel,0,7.0 (4 ulasan),"Cibubur, Jakarta",Rp 128.419,Rp 171.225,,N/A
Apartement Cosmo Terrace,Apartemen,0,8.4 (83 ulasan),"Thamrin, Jakarta",Rp 490.581,Rp 654.107,Jacuzzi; Area main anak; Jacuzzi,N/A
RedDoorz Plus near Jakarta Kota Station,Hotel,2,7.1 (81 ulasan),"Pinangsia, Jakarta",Rp 127.304,Rp 169.738,,N/A
Mansion 28 Dharmawangsa,Apartemen,3,8.6 (206 ulasan),"Dharmawangsa, Jakarta",Rp 819.001,Rp 1.092.001,Penitipan sepeda; Penyewaan sepeda; Dapur kecil; Pusat kebugaran,N/A
RedDoorz Plus near Trisakti University,Hotel,1,7.7 (18 ulasan),"Grogol, Jakarta",Rp 137.471,Rp 183.294,,N/A
Apartemen Kalibata City By Aok Property,Apartemen,0,6.7 (8 ulasan),"Kalibata, Jakarta",Rp 245.700,Rp 327.599,Dapur kecil,N/A
Grand Wisma Davinci Sabrina,Hostel,0,8.5 (115 ulasan),"Kebon Kacang, Jakarta",Rp 346.437,Rp 461.915,Layanan pijat; Antar-jemput bandara,N/A
Kartini Residence RedPartner,Hotel,0,7.3 (19 ulasan),"Pasar Baru, Jakarta",Rp 117.373,Rp 156.497,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/680016864-5332ab4d4a16e5f4480c16760a407a81.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
RedDoorz Plus near Hayam Wuruk 2,Hotel,2,7.8 (33 ulasan),"Hayam Wuruk, Jakarta",Rp 162.564,Rp 216.751,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67855838-0f3d1ccf9e28107071e3bbdfe743ab2f.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
MK Apartment Kaibata City by Kamal,Apartemen,0,8.7 (42 ulasan),"Kalibata, Jakarta",Rp 311.220,Rp 414.959,,N/A
The Sultan Residence,Apartemen,4,N/A,"Senayan, Jakarta",Rp 3.000.000,Rp 3.999.999,Toko/pusat belanja; Lapangan tennis outdoor; Bar,N/A
Harapan Solata Homestay,Homestay,0,7.3 (14 ulasan),"Pulau Kelapa, Jakarta",Rp 548.730,Rp 731.639,Great value in its class; Banana boat; Volley pantai; Kano; Menyelam,N/A
Bangka Suite Mitra RedDoorz,Hotel,0,7.9 (13 ulasan),"Kemang, Jakarta",Rp 392.396,Rp 523.194,,N/A
RedLiving Apartemen Bassura City - Gracefull Rooms Tower Dahlia,Apartemen,2,7.4 (12 ulasan),"Cipinang, Jakarta",Rp 234.745,Rp 312.993,Great value in its class,N/A
Apartemen Menteng Park By Allproperty,Apartemen,4,8.4 (17 ulasan),"Cikini, Jakarta",Rp 416.674,Rp 555.565,Pusat kebugaran; Sauna,N/A
Sisca Homestay Tidung RedPartner,Hotel,2,N/A,"Pulau Tidung, Jakarta",Rp 495.031,Rp 660.041,,N/A
Loewy's Home Jakarta,Guest House,3,N/A,"Tanjung Duren, Jakarta",Rp 459.000,Rp 611.999,,N/A
Penginapan Rio,Hotel,0,8.4 (18 ulasan),"Rawa Bunga, Jakarta",Rp 190.008,Rp 253.343,,N/A
Mama Syariah Cengkareng @ Mutiara Palem,Guest House,1,7.7 (142 ulasan),"Cengkareng Timur, Jakarta",Rp 165.996,Rp 221.327,,N/A
RedDoorz near Mangga Dua Square,Hotel,1,6.6 (34 ulasan),"Gunung Sahari, Jakarta",Rp 151.351,Rp 201.801,,N/A
NamRoom at Kalimalang,Hotel,2,8.2 (6 ulasan),"Kalimalang, Jakarta",Rp 163.590,Rp 218.119,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/114000000/113880000/113871900/113871814/d7bc995f_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Apartment Bassura City by Travelibu,Apartemen,0,8.7 (11 ulasan),"Cipinang, Jakarta",Rp 244.350,Rp 325.799,Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67827838-e45566f0411beb55b58f4e9d201168ba.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Kadina 19 Avenue,Hotel,0,8.4 (7 ulasan),"Daan Mogot, Jakarta",Rp 163.567,Rp 218.089,Great value in its class; Aksesibel bagi penyandang disabilitas,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/680031551-2155c35b4167392d9dde0e6086f2a187.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
