Nama Hotel,Tipe Properti,Bintang Hotel,Rating,Lokasi,Harga Diskon,Harga Asli,Fasilitas,URL Gambar
Best Choice and Cozy 1BR Apartment at Kebagusan City By Travelio,Apartemen,0,N/A,"Kebagusan, Jakarta",Rp 428.925,Rp 571.899,Dapur kecil,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67796684-3daaf64797d87525025c45c2d0af3145.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Great Choice 3BR at The Empyreal Apartment By Travelio,Apartemen,0,N/A,"Kuningan, Jakarta",Rp 2.172.324,Rp 2.896.431,Dapur kecil,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67800456-e4450cee9aa6c1c52eab1e7ddd2ceb67.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Minimalist Furnished 1BR at Casa Grande Residence Apartment By Travelio,Apartemen,0,N/A,"Casablanca, Jakarta",Rp 1.357.702,Rp 1.810.269,Area main anak; Dapur kecil; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67817225-9c89cab643b20b28487ab0f94ecfa016.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Comfortable & Nice Studio at Kebagusan City By Travelio,Apartemen,0,6.0 (1 ulasan),"Kebagusan, Jakarta",Rp 393.536,Rp 524.714,Dapur kecil,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67815039-bab34bcaadf6d026df889febc983ba26.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
2BR with Direct Access to Pool at Green Bay Apartment By Travelio,Apartemen,0,6.8 (2 ulasan),"Pluit, Jakarta",Rp 560.364,Rp 747.151,Dapur kecil; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67805241-ec2f47dac45021ceeaeffea1256cf743.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Nice and Comfy 2BR Bassura City Apartment near Mall,Apartemen,3,N/A,"Cipinang, Jakarta",Rp 638.363,Rp 851.150,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/73000000/72670000/72666100/72666034/281db645_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Cozy And Comfy Studio At Bassura City Apartment,Apartemen,3,N/A,"Cipinang, Jakarta",Rp 497.259,Rp 663.011,,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/91000000/90760000/90752900/90752885/66f2b647_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Comfortable and Stunning 2BR Samara Suites Apartment By Travelio,Apartemen,0,N/A,"Gatot Subroto, Jakarta",Rp 1.310.535,Rp 1.747.379,Dapur kecil; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67858706-4640ed86db8886111dced30c9738636b.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Fully Furnished With Comfortable Design 1Br Apartment At Pejaten Park Residence,Apartemen,3,N/A,"Ragunan, Jakarta",Rp 868.919,Rp 1.158.558,,N/A
Comfy and Modern Look Studio Gold Coast Apartment By Travelio,Apartemen,0,N/A,"Kamal Muara, Jakarta",Rp 972.380,Rp 1.296.506,Area main anak; Dapur kecil; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/680019780-80d58fd8135db1203bdfbc53aa877b0d.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
